Latitude,Longitude
59.57032534,-111.0440857
57.77482229,-111.0440857
55.97880706,-111.0440857
57.2272188,-113.385717
55.93619319,-115.6488395
57.73222076,-115.6488395
56.44090089,-117.9418787
55.15031171,-120.1602823
56.94656818,-120.1602823
58.19395572,-117.7553662
56.39806141,-117.7553662
58.19395572,-117.7553662
56.90235675,-120.0766207
58.69810668,-120.0766207
59.94352789,-117.5460889
58.65077653,-119.9823643
57.35889154,-117.6323497
58.60582984,-120.0654964
56.81005357,-120.0654964
56.76713419,-116.7936732
55.47636706,-114.5569841
56.72529481,-116.8673125
57.97292019,-119.2573982
56.68145605,-116.9497555
55.39073608,-114.7179049
57.18692224,-114.7179049
58.43404888,-117.1391818
59.67977659,-114.6285743
57.88430426,-114.6285743
59.13065826,-117.098859
59.08371978,-120.5886747
57.28807946,-120.5886747
59.08371978,-120.5886747
59.03686792,-117.1036139
57.24121432,-117.1036139
55.44504401,-117.1036139
55.40426424,-120.2618064
57.20044645,-120.2618064
58.99611161,-120.2618064
57.70400363,-117.889471
58.95055967,-120.3468608
57.65848145,-117.9774989
59.4540172,-117.9774989
58.16160419,-120.3802307
56.36570058,-120.3802307
56.32349444,-117.1464884
56.28135519,-120.3766698
57.52945113,-118.0156875
58.77620124,-120.4607443
57.48423595,-118.1026815
58.73103608,-120.5445674
57.4390998,-118.1894105
58.68594977,-120.6281408
56.89019637,-120.6281408
56.84714656,-117.3493325
56.80416688,-114.0742809
58.59994483,-114.0742809
59.84548042,-116.5973628
59.79719283,-113.0331976
59.74899819,-116.5922231
57.95354525,-116.5922231
59.74899819,-116.5922231
58.45638284,-114.1694107
58.41066647,-117.5923627
57.11893306,-115.2575717
55.82796909,-117.5144035
55.78660424,-120.7034858
57.58267517,-120.7034858
59.37823227,-120.7034858
58.0858705,-118.3058491
58.04080596,-114.9183612
56.74930065,-117.2301637
57.99690033,-114.8384797
57.95199031,-111.4593775
57.90715799,-114.8342656
56.11118103,-114.8342656
56.06937601,-118.046679
57.31769362,-115.6992953
56.02661611,-117.967707
57.27497821,-115.6230434
55.98392525,-117.8889542
55.9423188,-121.0908324
57.7383446,-121.0908324
58.98486228,-118.6309989
57.18919393,-118.6309989
55.89819002,-120.8919075
57.6942286,-120.8919075
55.89819002,-120.8919075
57.6942286,-120.8919075
55.89819002,-120.8919075
57.6942286,-120.8919075
56.40293127,-118.6011527
57.6508992,-116.2322853
59.44643708,-116.2322853
59.39890963,-119.7544916
59.35147153,-116.2372056
57.55590689,-116.2372056
55.75982819,-116.2372056
55.71856828,-119.4207365
57.51465897,-119.4207365
59.31023524,-119.4207365
57.51465897,-119.4207365
55.71856828,-119.4207365
55.67737175,-116.2405554
55.63623836,-113.0637103
55.59516788,-116.2372331
55.55416009,-113.0670189
56.80300862,-115.3821275
56.76010068,-118.6533384
58.55589121,-118.6533384
56.76010068,-118.6533384
58.00768879,-116.2609344
59.25390358,-118.7401361
57.96162521,-121.1294698
57.91677624,-117.7536787
56.12080206,-117.7536787
56.07898197,-114.5404652
57.32728958,-116.8884612
55.53114437,-116.8884612
57.32728958,-116.8884612
56.03620655,-119.1574357
57.28455867,-116.8121627
55.488401,-116.8121627
57.28455867,-116.8121627
59.08019999,-116.8121627
