latitude,longitude,location_id,landsat_scene_id,soilgrids_id
59.57032534,-111.0440857,204591d8,,204591d8
57.77482229,-111.0440857,355fad74,,355fad74
55.97880706,-111.0440857,33d6cfcd,,33d6cfcd
57.2272188,-113.385717,c08e85ca,,c08e85ca
55.93619319,-115.6488395,0d867557,,0d867557
57.73222076,-115.6488395,5a77a360,,5a77a360
56.44090089,-117.9418787,772a1a9f,,772a1a9f
55.15031171,-120.1602823,e3cd6548,,e3cd6548
56.94656818,-120.1602823,7345cb06,,7345cb06
58.19395572,-117.7553662,30a8959b,,30a8959b
56.39806141,-117.7553662,6431e936,,6431e936
58.19395572,-117.7553662,34216851,,34216851
56.90235675,-120.0766207,94ad4879,,94ad4879
58.69810668,-120.0766207,5909fb5f,,5909fb5f
59.94352789,-117.5460889,947b093e,,947b093e
58.65077653,-119.9823643,6177ec27,,6177ec27
57.35889154,-117.6323497,84008de2,,84008de2
58.60582984,-120.0654964,ee429dc4,,ee429dc4
56.81005357,-120.0654964,203f680d,,203f680d
56.76713419,-116.7936732,042346a0,,042346a0
55.47636706,-114.5569841,d32af2ee,,d32af2ee
56.72529481,-116.8673125,236a11f2,,236a11f2
57.97292019,-119.2573982,c9594a85,,c9594a85
56.68145605,-116.9497555,9c1cfd57,,9c1cfd57
55.39073608,-114.7179049,333fa898,,333fa898
57.18692224,-114.7179049,a7a88373,,a7a88373
58.43404888,-117.1391818,413669cb,,413669cb
59.67977659,-114.6285743,ce04e3f0,,ce04e3f0
57.88430426,-114.6285743,5eff649a,,5eff649a
59.13065826,-117.098859,781cb4fa,,781cb4fa
59.08371978,-120.5886747,526c384e,,526c384e
57.28807946,-120.5886747,d689b70a,,d689b70a
59.08371978,-120.5886747,a43e15f1,,a43e15f1
59.03686792,-117.1036139,91f87d3a,,91f87d3a
57.24121432,-117.1036139,771bf127,,771bf127
55.44504401,-117.1036139,0f052d50,,0f052d50
55.40426424,-120.2618064,2e164894,,2e164894
57.20044645,-120.2618064,2df5acd5,,2df5acd5
58.99611161,-120.2618064,113ec203,,113ec203
57.70400363,-117.889471,61e1739f,,61e1739f
58.95055967,-120.3468608,9fbff652,,9fbff652
57.65848145,-117.9774989,82cf595d,,82cf595d
59.4540172,-117.9774989,9dba257b,,9dba257b
58.16160419,-120.3802307,409b154a,,409b154a
56.36570058,-120.3802307,066072e4,,066072e4
56.32349444,-117.1464884,eb7dc765,,eb7dc765
56.28135519,-120.3766698,74bd3e49,,74bd3e49
57.52945113,-118.0156875,d0a38295,,d0a38295
58.77620124,-120.4607443,6f1f0605,,6f1f0605
57.48423595,-118.1026815,dbbd1206,,dbbd1206
58.73103608,-120.5445674,e38f4b03,,e38f4b03
57.4390998,-118.1894105,eb3472fd,,eb3472fd
58.68594977,-120.6281408,e5123253,,e5123253
56.89019637,-120.6281408,ac893ac1,,ac893ac1
56.84714656,-117.3493325,5bb82e41,,5bb82e41
